num_imm,type_voie_imm,nom_voie_imm,city
6,rue,galleron,Paris
8,rue,galleron,Paris
10,rue,galleron,Paris
24,rue,saint-blaise,Paris
28,rue,adolphe-adam,Paris
19,rue,galilee,Paris
40,avenue,kléber,Paris
63,avenue d',iéna,Paris
201,rue de,crimée,Paris
203,rue de,crimée,Paris
205,rue de,crimée,Paris
207,rue de,crimée,Paris
225,rue de,crimée,Paris
229,rue,armand-moisant,Paris
1,rue de l',escaut,Paris
19,rue,philibert-lucot,Paris
14,rue,abel,Paris
23,rue des,cascades,Paris
47,rue des,pyrénées,Paris
11,rue de l',odéon,Paris
1,rue,bobillot,Paris
33,rue,bobillot,Paris
4,rue,denis-poisson,Paris
3,rue,bourbon-le-chateau,Paris
21,rue de l,échaudé,Paris
50,rue de,passy,Paris
1,rue de la,butte-aux-cailles,Paris
27,rue de la,butte-aux-cailles,Paris
1,rue de l',espérance,Paris
30,boulevard,diderot,Paris
1,rue,jean-bouton,Paris
18,rue,cujas,Paris
18,avenue de,la motte-picquet,Paris
8,rue de l',abbaye,Paris
9,villa du,progres,Paris
8,impasse,mousset,Paris
40,rue de,douai,Paris
2,rue de,douai,Paris
45,rue des,volontaires,Paris
50,rue des,volontaires,Paris
43,rue du,sentier,Paris
23,cité,industrielle,Paris
29,rue de la,breche-aux-loups,Paris
24,rue,charles-baudelaire,Paris
41,rue,vergniaud,Paris
14,avenue des,gobelins,Paris
1,rue,abel,Paris
9,rue,léo-delibes,Paris
14,rue,drouot,Paris
20,rue de la,grange-bateliere,Paris
7,rue,rosenwald,Paris
31,rue de,montpensier,Paris
34,rue de,richelieu,Paris
22,place,denfert-rochereau,Paris
24,place,denfert-rochereau,Paris
1,rue,grancey,Paris
18,rue,maurice-mayer,Paris
201,boulevard,pereire,Paris
31,rue,victor-massé,Paris
16,rue,navarin,Paris
14,rue,volney,Paris
30,rue,charles-baudelaire,Paris
12,rue,amelot,Paris
5,rue du,pasteur-wagner,Paris
81,rue,blanche,Paris
20,rue,rochebrune,Paris
7,rue,crocé-spinelli,Paris
31,avenue de la,république,Paris
65,rue d',avron,Paris
17,rue,van-loo,Paris
5,impasse de,jouvence,Paris
7,impasse de,jouvence,Paris
43,rue de,montmorency,Paris
50,rue de,montmorency,Paris
214,rue,saint-martin,Paris
5,rue d',eupatoria,Paris
3,villa,niel,Paris
40,rue des,francs-bourgeois,Paris
125,avenue,victor-hugo,Paris
4,rue,guy-de-la-brosse,Paris
15,place,saint-pierre,Paris
15,rue de,steinkerque,Paris
38,rue,mouraud,Paris
2,rue,boulard,Paris
13,rue,froideveaux,Paris
3,passage des,abbesses,Paris
27,rue,richard-lenoir,Paris
66,rue de,saintonge,Paris
81,rue,myrha,Paris
29,rue,david-d'angers,Paris
4,rue de la,prevoyance,Paris
12,rue,saint-paul,Paris
64,rue,blanche,Paris
22,rue,blomet,Paris
7,rue,baudelique,Paris
90,rue,riquet,Paris
3,passage du,génie,Paris
169,rue,lecourbe,Paris
5,rue de l',abbé-rousselot,Paris
63,rue,albert-samain,Paris
65,rue,albert-samain,Paris
67,rue,albert-samain,Paris
69,rue,albert-samain,Paris
71,rue,albert-samain,Paris
116,boulebard de,charonne,Paris
45,rue,planchat,Paris
65,rue,ordener,Paris
5,rue,carpeaux,Paris
25,rue,boulard,Paris
47,rue de,chaillot,Paris
49,rue de,chaillot,Paris
51,rue de,chaillot,Paris
15,rue,jobbé-duval,Paris
25,rue du,capitaine-madon,Paris
27,rue du,capitaine-madon,Paris
29,rue,delambre,Paris
60,boulevard,diderot,Paris
62,boulevard,diderot,Paris
45,rue,duhesme,Paris
47,rue,duhesme,Paris
82,rue,saint-dominique,Paris
87,rue,la boetie,Paris
53,rue,gauthey,Paris
57,rue de,la jonquiere,Paris
94,rue,leibnitz,Paris
9,rue de,lunéville,Paris
214,avenue du,maine,Paris
216,avenue du,maine,Paris
14,rue,merlin,Paris
48,rue,molitor,Paris
3,rue,nollet,Paris
5,rue,nollet,Paris
1,passage,national,Paris
1,passage,national,Paris
35,rue,grégoire-de-tours,Paris
12,rue,eugène-delacroix,Paris
14,boulevard,pershing,Paris
47,rue,belliard,Paris
49,rue,belliard,Paris
51,rue,belliard,Paris
57,rue du,théatre,Paris
3,rue,mouffle,Paris
79,rue du,ranelach,Paris
14,rue de,reims,Paris
29,rue,david-d'angers,Paris
4,rue de la,prevoyance,Paris
12,rue,saint-paul,Paris
64,rue,blanche,Paris
22,rue,blomet,Paris
7,rue,baudelique,Paris
90,rue,riquet,Paris
3,passage du,génie,Paris
169,rue,lecourbe,Paris
5,rue de l',abbé-rousselot,Paris
63,rue,albert-samain,Paris
65,rue,albert-samain,Paris
67,rue,albert-samain,Paris
69,rue,albert-samain,Paris
71,rue,albert-samain,Paris
116,boulebard de,charonne,Paris
45,rue,planchat,Paris
65,rue,ordener,Paris
5,rue,carpeaux,Paris
25,rue,boulard,Paris
47,rue de,chaillot,Paris
49,rue de,chaillot,Paris
51,rue de,chaillot,Paris
15,rue,jobbé-duval,Paris
25,rue du,capitaine-madon,Paris
27,rue du,capitaine-madon,Paris
29,rue,delambre,Paris
60,boulevard,diderot,Paris
62,boulevard,diderot,Paris
45,rue,duhesme,Paris
47,rue,duhesme,Paris
82,rue,saint-dominique,Paris
87,rue,la boetie,Paris
53,rue,gauthey,Paris
1,rue de,la jonquiere,Paris
57,rue de,la jonquiere,Paris
94,rue,leibnitz,Paris
9,rue de,lunéville,Paris
214,avenue du,maine,Paris
216,avenue du,maine,Paris
14,rue,merlin,Paris
48,rue,molitor,Paris
3,rue,nollet,Paris
5,rue,nollet,Paris
1,passage,national,Paris
1,passage,national,Paris
35,rue,grégoire-de-tours,Paris
12,rue,eugène-delacroix,Paris
14,boulevard,pershing,Paris
47,rue,belliard,Paris
49,rue,belliard,Paris
51,rue,belliard,Paris
57,rue du,théatre,Paris
3,rue,mouffle,Paris
79,rue du,ranelach,Paris
14,rue de,reims,Paris
9,rue de l',abreuvoir,Paris
13,rue,jouvenet,Paris
59,rue de,courcelles,Paris
26,rue,cambacérés,Paris
13,rue,étienne-marey,Paris
4,rue de la,saone,Paris
36,rue,pouchet,Paris
3,rue,agrippa-d'aubigné,Paris
31,rue,singer,Paris
9,rue,beethooven,Paris
11,rue,beethooven,Paris
13,boulevard,delessert,Paris
1,rue des,bernardins,Paris
3,rue des,bernardins,Paris
5,rue des,bernardins,Paris
7,rue des,bernardins,Paris
55,quai de la,tournelle,Paris
57,quai de la,tournelle,Paris
21,rue des,fontaines-du-temple,Paris
8,rue de la,véga,Paris
10,rue de la,véga,Paris
62,rue,saint-didier,Paris
64,rue,saint-didier,Paris
14,rue,wurtz,Paris
25,rue de,constantinople,Paris
18,rue,desrenaudes,Paris
11,rue,léonard-de-vinci,Paris
64,avenue,victor-hugo,Paris
64,avenue de,wagram,Paris
11,rue de la,grange-bateliere,Paris
115,rue,lamarck,Paris
136,rue,lamarck,Paris
138,rue,lamarck,Paris
19,rue de,passy,Paris
149,rue,leon-maurice-nordmann,Paris
61,rue,lauriston,Paris
39,rue,pouchet,Paris
19,rue des,trois-freres,Paris
3,rue,chanez,Paris
10,rue,descartes,Paris
10,rue de l',elysee-des-beaux-arts,Paris
5,rue des,haies,Paris
